#{"t_start": 1763042785.9011474, "env_id": "None"}
r,l,t
-15.7,17,1.27644
-18.5,25,1.278071
-28.7,27,1.279603
-25.4,24,1.280915
-20.9,69,1.28475
-9.2,22,1.285978
-24.6,36,1.287997
-3.3,33,1.28996
-21.4,24,1.291532
-25.3,53,1.294272
-18.7,27,1.295687
-7.8,28,1.297386
-9.5,15,1.298666
-22.3,23,1.300013
-35.2,162,1.30802
-5.5,35,1.309855
-0.4,34,1.311992
-23.5,35,1.313971
-18.8,18,1.314989
-31.8,48,1.317716
3.1,79,1.322107
-0.9,29,1.323684
-9.2,12,1.324438
-19.7,37,1.326456
-19.1,31,1.328537
-3.5,35,1.331122
-21.7,17,1.332113
-25.9,19,1.61134
-34.9,69,1.646569
-20.8,18,1.656064
-19.2,22,1.664802
-31.0,20,1.673985
3.7,13,1.681326
-32.2,92,1.727416
-25.5,75,1.764842
-0.0,50,1.790137
-18.4,34,1.806473
-22.5,25,1.819662
-14.3,23,1.830973
-36.0,110,1.882214
-4.8,68,1.915325
-34.7,87,1.950695
-25.7,17,1.958864
-24.0,50,1.981091
-16.9,29,1.993127
-12.9,49,2.014048
-17.7,97,2.063234
-22.4,34,2.078369
-3.9,19,2.089459
-20.4,74,2.127504
-23.0,20,2.139163
-14.5,25,2.150512
-15.5,55,2.177148
-14.0,50,2.201898
-3.4,94,2.249645
-2.7,37,2.268635
-27.1,51,2.296117
-16.6,16,2.304588
-12.7,87,2.345526
-31.7,97,2.392351
-25.7,37,2.4097
-30.1,41,2.42887
-24.3,43,2.449915
-31.8,88,2.489553
-32.2,72,2.522158
-25.9,19,2.530316
-9.6,36,2.546206
-27.4,24,2.55612
-10.5,25,2.567968
-7.7,37,2.585081
-21.9,39,2.604582
-24.1,21,2.613939
-15.8,28,2.6275
-23.5,15,2.63463
-20.0,10,2.638149
-28.7,27,2.649772
-20.8,18,2.658828
-19.7,17,2.666727
-20.4,134,2.722908
-27.9,39,2.739099
-15.2,22,2.751699
-20.2,32,2.766921
-22.0,50,2.789369
-12.9,109,2.838697
-3.1,31,2.856924
-18.1,21,2.866174
-7.4,44,2.885
-33.1,31,2.89891
-18.1,41,2.917138
-16.4,14,2.92362
-26.7,127,2.980927
-32.5,105,3.02492
-26.5,25,3.04817
-0.8,48,3.071047
11.4,86,3.109064
-23.9,19,3.115906
-26.7,47,3.138108
-36.6,96,3.18166
-13.8,118,3.235721
-13.4,44,3.254747
-18.8,98,3.299072
-34.8,98,3.3486
-9.0,20,3.357874
-20.5,25,3.369791
-17.3,93,3.411186
-18.5,25,3.421057
-16.9,29,3.433791
-8.8,38,3.448886
-27.2,62,3.479989
-11.0,40,3.502284
-29.8,108,3.550727
-11.7,37,3.565482
-6.6,16,3.573138
-27.1,51,3.59625
-19.7,117,3.649658
-25.4,44,3.671409
-24.5,45,3.694288
-12.6,86,3.742368
-8.2,62,3.77436
-20.4,14,3.78196
-16.2,32,3.798575
-25.6,26,3.811923
-21.2,22,3.825465
-26.3,43,3.844741
-31.9,139,3.919508
-35.1,71,3.958027
-29.6,186,4.054708
-24.4,14,4.062813
-24.0,30,4.076409
-7.5,35,4.094362
-28.0,30,4.107563
-5.1,11,4.112097
-22.1,21,4.123056
-28.0,110,4.174543
-11.1,31,4.18918
-20.3,43,4.209299
-18.9,29,4.22293
-22.6,56,4.250242
-21.3,13,4.25634
-22.1,21,4.264599
-14.4,14,4.272159
-14.8,38,4.291577
-2.7,37,4.310253
-10.8,58,4.334517
-11.8,68,4.365987
-21.2,62,4.399149
-22.4,54,4.423154
-14.0,30,4.439425
-14.0,30,4.455853
-25.7,37,4.47615
-20.1,61,4.511929
-6.2,92,4.556564
-12.2,32,4.572705
-24.5,45,4.595148
-22.2,12,4.60214
-4.7,17,4.609557
-11.4,44,4.62829
-4.1,21,4.636911
-18.5,25,4.649628
-38.4,114,4.710201
-17.7,37,4.72848
-9.3,33,4.746211
-13.9,39,4.764782
-22.0,30,4.781851
-27.4,44,4.803514
-29.7,77,4.838449
-25.2,22,4.851498
-18.4,14,4.858392
-30.1,121,4.922881
-4.3,43,4.945521
-24.8,58,4.974649
-3.0,40,4.994349
-22.0,60,5.025226
-19.2,62,5.057857
2.0,50,5.084488
-17.4,64,5.115115
-12.4,94,5.160113
-5.7,37,5.178479
-14.6,106,5.232704
-23.7,17,5.241283
-23.0,40,5.262728
-8.4,14,5.270292
-11.8,258,5.403707
-28.2,52,5.429249
-30.3,63,5.4595
-34.2,52,5.484899
-23.2,22,5.495271
-9.1,61,5.527751
-22.8,78,5.568639
-14.6,16,5.577934
-13.3,33,5.593612
-24.1,41,5.615093
-5.0,60,5.645233
-31.3,33,5.660547
-10.8,38,5.676333
-25.8,28,5.688114
-20.6,16,5.696558
-21.6,46,5.718792
-8.4,54,5.740855
-12.6,76,5.77489
-20.2,52,5.799654
-22.6,136,5.862908
-26.4,94,5.904083
-32.1,61,5.933884
-23.8,48,5.958324
-15.6,86,6.01316
-28.0,150,6.086763
-20.8,78,6.122704
-17.5,15,6.129047
-28.0,90,6.168997
-19.6,26,6.180683
-23.4,104,6.227937
10.1,29,6.243206
-9.7,37,6.26164
-18.6,16,6.270129
-18.4,34,6.287803
-27.4,64,6.320067
-24.0,50,6.345623
5.8,102,6.396414
-26.2,82,6.437779
-2.5,55,6.466908
-13.0,20,6.477083
-20.1,21,6.488627
-30.1,41,6.508085
-16.3,23,6.520643
-2.7,57,6.548748
-7.7,107,6.604836
-15.2,102,6.654334
-20.4,14,6.664469
-20.0,30,6.677777
-11.7,17,6.688012
-20.9,49,6.708934
-11.9,39,6.725835
-11.8,28,6.737413
-20.2,52,6.759384
-17.9,19,6.768116
-26.1,61,6.798497
-34.8,178,6.876342
-6.8,38,6.895151
-17.7,77,6.930274
-5.9,99,6.973605
-18.7,87,7.009666
5.1,39,7.027
-24.8,38,7.044806
-5.2,22,7.055159
-5.4,64,7.087279
-5.1,51,7.110591
-26.0,70,7.140821
-12.7,27,7.154183
-19.9,19,7.162837
-20.7,27,7.175696
-22.3,43,7.193302
4.3,47,7.213761
-39.1,131,7.271488
-6.0,50,7.292875
-2.2,22,7.302905
-14.4,54,7.326879
-28.0,50,7.353979
-23.4,44,7.374499
1.3,37,7.389768
-23.1,31,7.40581
-27.3,73,7.438973
-27.2,42,7.456791
-22.3,43,7.473649
-25.6,66,7.503331
-27.1,51,7.526027
0.5,45,7.546251
8.1,29,7.558295
-17.7,17,7.566993
-19.2,42,7.584882
-27.9,59,7.615725
-34.8,78,7.653168
-31.8,48,7.67389
-9.5,125,7.730192
-30.8,38,7.74779
-10.3,23,7.758624
-19.1,31,7.773509
-30.6,116,7.82701
-20.6,76,7.859123
-19.4,24,7.871293
-13.0,80,7.914224
-6.6,36,7.932748
2.1,19,7.943665
-18.1,21,7.952005
-25.3,33,7.982482
-21.2,82,8.056667
-34.0,90,8.140404
-17.0,40,8.176283
-16.9,49,8.220414
-19.9,19,8.23781
-32.0,70,8.296016
-20.0,30,8.324655
-17.8,48,8.372828
-35.4,124,8.487423
-25.2,42,8.523401
-21.7,17,8.537042
-38.8,178,8.704829
-13.5,35,8.738425
-7.7,17,8.75409
-15.8,108,8.846556
-6.2,32,8.875955
-20.9,49,8.917554
-10.9,79,9.007692
-19.3,113,9.140057
-17.5,35,9.17755
-19.5,115,9.319408
-17.4,24,9.350575
-25.1,31,9.384
-31.0,100,9.505449
-4.6,86,9.604869
-12.2,32,9.64339
-6.9,49,9.68973
-19.1,11,9.702756
-31.4,44,9.747706
-13.6,26,9.769402
-19.6,46,9.816687
-27.0,20,9.837047
-6.9,29,9.862217
-36.3,123,9.97831
-22.0,50,10.021381
-21.6,26,10.04952
-7.5,15,10.063966
-31.9,119,10.173342
-20.4,34,10.224759
-24.1,21,10.249581
-24.1,81,10.325967
-19.7,37,10.365071
-19.3,133,10.485868
-3.3,83,10.568318
-1.6,26,10.590169
-11.3,13,10.601709
-21.6,46,10.653255
-20.4,34,10.682915
-25.7,77,10.761561
-28.7,27,10.786639
-18.3,23,10.808728
-17.2,42,10.866143
-14.8,18,10.890079
1.9,11,10.905014
-39.1,111,11.01502
-23.3,33,11.047061
-21.5,15,11.062458
-2.9,49,11.10858
-24.7,27,11.133533
-9.3,13,11.146428
-18.3,63,11.209527
-24.8,38,11.242306
-17.7,17,11.256077
-7.0,20,11.275898
-18.7,27,11.301645
-19.8,48,11.349846
-8.0,30,11.379746
-29.5,55,11.430409
-30.7,127,11.582628
-11.2,62,11.643191
-19.8,28,11.668551
-39.2,182,11.84788
-31.6,166,12.00343
-10.5,105,12.102482
-11.1,51,12.154021
-18.6,56,12.206232
1.1,29,12.252733
-30.5,25,12.298674
-23.4,24,12.315047
-21.1,11,12.322575
-19.2,42,12.346737
-25.8,48,12.373392
-11.8,28,12.386747
-25.3,73,12.423954
-7.3,53,12.453038
-20.9,69,12.490368
-29.1,31,12.507932
-26.8,38,12.530921
-25.8,108,12.587043
-29.9,59,12.616612
-18.8,78,12.665793
-29.2,162,12.753741
-22.5,25,12.766431
-23.3,33,12.782185
-29.1,71,12.814573
-20.5,25,12.826978
5.0,50,12.85019
-21.1,51,12.873775
-27.0,100,12.922882
-21.6,46,12.945624
-42.5,185,13.032236
-23.3,73,13.269261
-19.2,62,13.300564
-26.0,70,13.34192
-34.1,121,13.407655
-32.6,76,13.451751
-15.6,96,13.505902
-8.3,33,13.523646
-27.4,24,13.535329
-22.9,29,13.552454
-14.3,23,13.564051
-11.9,99,13.616855
-3.7,17,13.626028
-22.1,61,13.657164
-20.0,10,13.661305
-21.3,53,13.690262
5.4,36,13.709821
-11.1,31,13.727757
-25.1,61,13.756784
-26.6,16,13.766661
-18.6,36,13.787933
2.6,124,13.855276
-15.9,79,13.898426
-27.7,37,13.917779
-16.0,30,13.934391
-31.4,44,13.959545
-5.1,31,13.975857
-21.2,62,14.010349
-18.0,30,14.027544
-3.6,26,14.0401
-18.8,118,14.103086
-23.7,37,14.123676
-21.1,31,14.142309
-23.2,22,14.151601
-22.1,41,14.174102
2.2,138,14.243311
-18.1,21,14.253162
-15.5,15,14.262206
-20.9,29,14.277983
-16.4,74,14.318821
-0.3,133,14.388822
-17.3,53,14.413541
-26.6,16,14.422562
-14.5,25,14.435567
-7.9,19,14.444818
-27.3,53,14.470194
-21.7,57,14.501939
-26.7,67,14.533009
-6.7,27,14.548442
-23.7,37,14.566643
-25.5,35,14.584032
-21.6,26,14.598178
-23.1,31,14.611634
-22.1,41,14.634031
-15.6,76,14.672219
-28.2,52,14.696734
-21.1,121,14.756603
-24.8,18,14.766897
-14.5,85,14.809
-9.0,90,14.853224
-11.1,201,14.946407
-19.1,51,14.971107
-6.8,58,15.002819
-24.5,65,15.034415
-24.4,34,15.051225
-15.4,24,15.062547
0.6,24,15.072468
-30.9,49,15.097126
-24.5,25,15.107035
-25.9,59,15.134093
-13.1,31,15.148849
2.9,81,15.187805
-33.2,122,15.250015
-21.3,13,15.25586
-19.1,31,15.271958
-29.0,120,15.329085
4.1,119,15.38011
-7.4,74,15.415941
-26.4,74,15.448751
-17.9,19,15.458092
-19.7,57,15.489375
-17.5,15,15.49762
-10.7,47,15.519153
-27.4,44,15.544721
-24.5,65,15.580681
-4.3,43,15.60324
-19.2,42,15.629178
-28.6,36,15.652543
-19.7,37,15.675123
-11.4,64,15.715785
-19.7,17,15.725795
-27.3,73,15.772372
-4.9,49,15.800001
-24.1,41,15.824907
-17.0,80,15.874031
-11.5,35,15.895624
-27.4,24,15.910102
-25.6,46,15.936838
-27.4,84,16.014236
-16.3,63,16.088846
-0.6,16,16.095807
-15.3,13,16.101026
-6.3,73,16.136687
-6.6,36,16.156956
-22.2,32,16.179436
-19.1,31,16.194905
-24.3,23,16.206642
5.4,46,16.230657
-16.9,49,16.251485
-27.0,40,16.268491
-26.9,69,16.319159
-22.5,25,16.342233
-18.1,41,16.382833
-21.5,35,16.415061
-20.8,58,16.480379
-2.5,25,16.514966
-5.5,15,16.535137
-20.2,152,16.678972
-30.9,69,16.741892
-25.0,60,16.795087
-10.2,52,16.848821
-25.7,37,16.886
-27.8,48,16.929733
-30.2,72,16.996233
-24.8,58,17.052856
-9.0,20,17.072435
-12.8,38,17.103891
-24.2,92,17.192284
-32.5,65,17.254725
-18.2,32,17.28441
-28.8,78,17.358933
-14.4,14,17.375407
-22.7,87,17.451435
-18.8,38,17.485579
-27.1,91,17.571761
-32.6,56,17.624058
-33.5,215,17.81118
-13.8,48,17.852958
-1.6,76,17.92231
-24.1,41,17.965974
-3.7,67,18.024843
-22.9,29,18.056202
-36.4,174,18.221004
-37.3,133,18.336367
-18.2,32,18.363866
-9.6,26,18.387201
-35.5,75,18.460669
-22.4,54,18.512706
-5.9,59,18.572746
-29.2,82,18.642178
-4.7,47,18.681815
-16.5,25,18.702685
-16.8,58,18.752144
-16.5,25,18.776205
4.2,228,18.973958
-13.3,93,19.070723
-23.6,66,19.1403
-3.2,72,19.225792
3.4,26,19.249304
-24.4,34,19.290949
-9.8,38,19.335505
-14.7,47,19.394137
-36.6,96,19.505481
-17.1,51,19.563843
-22.0,30,19.597015
-25.1,51,19.661077
-20.9,29,19.6914
-17.5,15,19.711759
-18.5,25,19.740232
-23.4,24,19.771065
-0.4,14,19.786129
-38.5,105,19.912603
-24.6,56,19.972336
-27.8,68,20.049552
-5.5,35,20.092291
-17.9,19,20.119017
-14.6,16,20.140453
-5.7,37,20.186497
-14.6,36,20.234266
1.9,51,20.300798
-32.1,61,20.364352
-24.7,47,20.408194
-21.9,19,20.422648
-14.4,34,20.457212
-12.2,12,20.468811
-6.4,44,20.511147
-17.9,19,20.532754
-24.1,21,20.553303
-29.5,35,20.588163
-17.4,24,20.610831
-19.0,20,20.644371
-21.3,33,20.687366
-2.8,28,20.71686
-26.2,32,20.749408
-13.7,37,20.794885
-23.8,28,20.830388
-26.5,25,20.85803
-18.6,176,21.049919
-21.3,33,21.093701
-30.7,67,21.173821
-34.8,178,21.385016
-9.1,21,21.404709
-15.6,26,21.434382
-24.8,158,21.605991
-31.9,59,21.684684
-14.3,93,21.784243
-25.6,46,21.84697
-14.6,16,21.866915
-21.2,22,21.891674
-19.1,11,21.904272
-28.0,90,21.999273
-21.0,20,22.022843
-24.5,25,22.056597
-13.4,64,22.127114
-11.5,35,22.162459
-34.6,136,22.306887
-38.4,194,22.509191
-22.9,29,22.542642
-23.9,59,22.602765
-24.7,87,22.69489
-16.8,78,22.769897
-7.2,52,22.821579
-27.2,22,22.844296
-14.3,43,22.885543
-15.6,46,22.938552
-24.1,61,22.995247
-28.1,61,23.051811
-27.2,22,23.07548
-20.4,14,23.087487
-9.6,26,23.114319
-12.8,98,23.212953
-22.5,25,23.24107
2.2,18,23.257231
-22.8,38,23.294528
-19.4,24,23.317762
-20.0,30,23.346709
-19.5,135,23.477456
-19.3,33,23.508861
-6.7,27,23.536048
-3.3,13,23.548691
-19.5,55,23.6009
-18.5,45,23.641717
-30.7,67,23.709995
5.5,35,23.745469
-31.6,46,23.787879
-26.2,32,23.81992
-25.9,59,23.877372
-17.8,28,23.904002
-20.4,34,23.935944
-18.6,16,23.950974
-21.1,51,24.001463
-23.5,35,24.037621
-23.0,20,24.056439
3.8,42,24.095071
-20.6,16,24.109577
-17.5,15,24.125543
-7.2,42,24.168007
-13.9,79,24.239729
-24.8,18,24.258934
-3.6,16,24.274536
-11.0,60,24.333023
-0.3,53,24.383745
-20.6,16,24.39914
13.4,106,24.508987
1.8,42,24.551948
-19.7,17,24.574173
-1.6,26,24.610315
-25.0,60,24.672781
-25.3,33,24.703896
-36.9,149,24.851343
-35.3,73,24.925949
-1.1,21,24.946847
-23.6,46,24.990787
-19.7,17,25.00999
-22.8,78,25.087394
-23.3,33,25.118875
-26.0,70,25.189399
-18.0,30,25.218439
-37.0,140,25.360283
-29.4,44,25.404602
-12.2,12,25.416726
-9.5,15,25.432612
-17.5,15,25.44832
-13.7,17,25.464971
-22.2,32,25.496164
-17.8,48,25.545265
25.9,81,25.625601
-22.9,49,25.67875
-12.6,16,25.694286
-14.8,38,25.728605
-27.1,31,25.761831
-17.4,44,25.805882
-14.8,18,25.824692
-30.0,50,25.876259
-23.5,15,25.891499
-17.6,26,25.916398
-23.2,22,25.940131
-18.5,65,26.005552
-20.6,36,26.043387
6.0,110,26.151083
-29.4,64,26.216824
-16.3,63,26.28787
-15.0,40,26.33093
-32.3,103,26.450096
-31.1,91,26.55507
-28.7,27,26.578855
-29.0,40,26.618545
-27.3,93,26.712399
-21.2,22,26.732478
-12.7,47,26.782775
-7.1,31,26.814584
-25.7,17,26.829968
-2.4,84,26.913515
-16.2,32,26.944365
-21.4,24,26.966938
-26.1,41,27.006655
-27.4,24,27.031856
2.8,92,27.128145
-24.9,29,27.157115
-33.2,42,27.200097
-32.5,65,27.264614
-27.6,46,27.318752
-17.9,19,27.334749
-21.6,26,27.360992
-8.6,96,27.45556
-12.6,36,27.490815
-9.0,110,27.606769
-9.9,19,27.626152
-15.9,59,27.686641
-12.4,34,27.71907
-23.8,28,27.746239
-18.6,76,27.824165
-17.4,64,27.885575
-5.3,23,27.908095
-20.4,14,27.925282
-17.6,26,27.959771
-18.6,36,28.006514
-15.1,31,28.049344
-14.6,116,28.207337
-23.6,66,28.301451
-18.8,58,28.391574
-15.6,26,28.424542
-18.7,47,28.489043
-23.2,172,28.679057
-9.4,24,28.701367
-21.4,84,28.784134
-32.1,101,28.88211
-30.9,49,28.933683
-7.0,40,28.97528
-30.3,63,29.04105
-27.4,44,29.083176
1.2,68,29.154692
-21.3,13,29.16925
-7.7,17,29.18506
-16.2,32,29.217742
-7.5,75,29.30491
-29.2,22,29.332429
-7.5,95,29.468687
-15.0,150,29.643617
-31.1,71,29.729477
-23.5,15,29.752561
-9.1,81,29.864047
-27.3,203,30.099838
-21.8,28,30.129446
-11.5,35,30.167056
-38.7,127,30.30342
-9.8,78,30.387189
-5.2,42,30.432663
-4.1,51,30.482587
-16.9,29,30.513623
-22.2,12,30.52892
-5.1,51,30.57993
-5.6,56,30.635252
4.7,83,30.718161
-35.8,88,30.807762
-6.1,51,30.862248
-8.5,25,30.885985
-19.3,13,30.896428
-26.6,76,30.972675
-34.9,189,31.173995
-28.9,109,31.293416
-19.6,106,31.860427
-21.5,15,31.87653
-24.3,23,31.901759
-20.1,101,32.000272
-3.9,19,32.022465
-12.1,41,32.060259
-8.6,56,32.117903
-4.6,36,32.156228
-17.5,55,32.210258
-16.3,23,32.230944
-22.4,54,32.294723
-19.8,48,32.343804
-25.2,122,32.474231
-20.0,50,32.533225
-22.1,61,32.604209
-15.0,20,32.62385
-28.9,29,32.653609
-28.7,27,32.680008
-23.8,48,32.733199
-7.7,17,32.749789
-31.2,22,32.775231
-33.1,151,32.933246
-26.3,43,32.973617
-19.6,26,33.003249
-27.1,31,33.035699
-6.1,21,33.058448
-29.1,111,33.166276
-6.0,20,33.186041
-21.4,24,33.208493
-24.5,25,33.230954
4.8,92,33.323939
-24.1,41,33.361883
-23.7,17,33.377208
-6.1,111,33.488107
-8.6,56,33.551372
-1.1,61,33.607462
-28.4,34,33.64682
9.7,113,33.757835
-24.7,47,33.824994
-9.9,29,33.866827
-7.4,54,33.949194
-17.1,51,34.020621
-5.0,60,34.103881
-21.4,44,34.150824
-25.8,28,34.177807
-30.3,23,34.199598
-11.8,58,34.256447
-20.8,58,34.314376
