#{"t_start": 1762723967.3880177, "env_id": "None"}
r,l,t
-15.7,17,0.929596
-18.5,25,0.931595
-28.7,27,0.933595
-25.4,24,0.9351
-20.9,69,0.94431
-9.2,22,0.946432
-24.6,36,0.948611
-3.3,33,0.950611
-21.4,24,0.954608
-25.3,53,0.958122
-18.7,27,0.960126
-7.8,28,0.962639
-9.5,15,0.976859
-22.3,23,0.977869
-35.2,162,0.98969
-5.5,35,0.992682
-0.4,34,0.997289
-23.5,35,1.000288
-18.8,18,1.001288
-31.8,48,1.004804
3.1,79,1.011507
-0.9,29,1.014501
-9.2,12,1.01501
-19.7,37,1.018311
-19.1,31,1.021311
-3.5,35,1.024311
-21.7,17,1.026043
-25.9,19,1.270907
-34.9,69,1.324606
-20.8,18,1.350096
-19.2,22,1.363169
-31.0,20,1.377069
3.7,13,1.386992
-32.2,92,1.455683
-23.6,66,1.536569
-4.2,72,1.594241
-19.5,15,1.606547
-19.6,26,1.625992
-13.7,17,1.639686
-38.1,121,1.735408
-5.4,54,1.778042
-22.8,38,1.805308
-17.3,13,1.814312
-13.0,40,1.842635
-30.2,32,1.868697
13.1,49,1.907053
-13.8,28,1.930108
-23.8,48,1.967937
-29.9,99,2.048353
-30.4,34,2.069927
-13.9,19,2.08445
-22.4,74,2.140498
-23.0,20,2.157345
-2.5,25,2.176885
-25.5,55,2.21712
-2.0,50,2.250173
-11.5,95,2.324429
-25.7,37,2.352469
-34.1,61,2.398443
-8.0,30,2.419535
-19.4,144,2.522341
-18.3,23,2.536145
-7.1,31,2.558068
-18.5,45,2.592409
0.9,41,2.622978
-27.8,88,2.686321
-30.2,72,2.744134
-9.9,19,2.759183
-16.6,36,2.788525
-15.4,24,2.807055
-7.8,28,2.825991
-25.6,46,2.861081
-26.7,67,2.916292
-29.2,22,2.93116
-23.5,15,2.943235
-28.7,27,2.96201
-20.8,18,2.977201
-20.8,18,2.992212
-22.6,136,3.09576
-25.3,53,3.129035
-21.6,106,3.207926
-15.9,39,3.232365
-5.0,100,3.307044
-6.9,49,3.341097
-21.9,39,3.369611
-30.5,45,3.405292
-16.4,14,3.414799
-9.6,126,3.509873
-24.8,98,3.585223
-18.6,16,3.597356
-27.0,20,3.613378
-20.4,54,3.660809
-26.3,23,3.675631
-13.9,19,3.692069
-10.1,101,3.772506
-24.7,47,3.811526
-16.5,25,3.833063
-29.3,33,3.855872
-37.2,102,3.934706
-6.5,45,3.96741
-12.7,47,4.009989
-29.7,77,4.066346
-24.5,25,4.08437
-21.2,42,4.113512
-20.6,16,4.128053
-10.1,21,4.144119
-16.6,16,4.153414
-11.3,33,4.18045
-25.5,95,4.248086
-16.4,34,4.277184
-7.9,39,4.306223
-30.9,69,4.365373
-13.3,73,4.422762
-26.1,81,4.481835
-0.5,35,4.508223
-32.2,72,4.560591
-14.4,114,4.652014
-28.6,56,4.693146
-26.1,41,4.727181
19.9,131,4.826082
-25.2,22,4.841094
-18.4,14,4.852126
-26.9,29,4.871361
-13.3,33,4.897551
-11.0,20,4.917095
-28.6,36,4.947156
-19.9,129,5.051069
-22.2,92,5.122366
-19.2,182,5.258001
-10.3,23,5.277145
-10.7,27,5.297291
-16.8,18,5.313301
-34.8,58,5.357176
-27.4,44,5.392301
-0.5,55,5.436159
-27.2,62,5.479358
-34.7,127,5.57363
-23.9,19,5.586247
-25.7,17,5.598404
-21.8,48,5.632176
-23.4,24,5.651138
-3.7,17,5.667232
-31.3,33,5.691299
-18.4,34,5.712592
-26.4,34,5.739153
-19.5,55,5.785866
-29.6,86,5.863427
-4.7,37,5.888762
-1.4,34,5.918191
-17.3,73,5.971783
-34.8,78,6.03136
-21.2,22,6.048018
-29.3,73,6.103302
-24.7,47,6.141798
-21.3,13,6.1501
11.1,59,6.18917
-16.9,89,6.25578
-31.4,64,6.300142
-20.3,63,6.347159
-4.7,27,6.366242
-7.6,76,6.422535
-23.5,55,6.464338
-29.1,71,6.514981
-20.4,14,6.530018
-17.3,13,6.545081
-27.0,40,6.571453
-25.5,115,6.645021
-15.7,17,6.658132
-3.2,42,6.692437
-11.6,56,6.730166
-16.2,32,6.751302
-11.4,94,6.814398
-15.1,51,6.853239
-15.6,66,6.904635
-17.5,15,6.918162
-10.0,110,6.99752
-26.3,103,7.067613
-28.7,47,7.101984
-22.9,29,7.121937
-0.4,14,7.134178
-26.6,116,7.220756
-7.6,156,7.325733
-28.4,54,7.3598
-35.0,100,7.432266
-14.0,50,7.473509
-23.3,133,7.567201
-25.9,19,7.580233
-32.1,41,7.609215
-9.3,33,7.638034
-24.6,56,7.6808
-3.4,24,7.697928
-17.5,35,7.722284
-20.6,36,7.752168
-17.5,15,7.764203
-5.5,15,7.773017
-26.4,54,7.810478
-11.5,55,7.853272
-23.5,75,7.909591
-17.5,55,7.956252
-18.2,142,8.069598
-18.9,69,8.156546
-23.5,55,8.201919
-26.3,43,8.233302
-25.1,51,8.267542
-16.6,76,8.329306
-44.8,388,8.658834
-22.3,193,8.823145
-22.8,58,8.873295
-27.2,42,8.915021
-25.7,17,8.930526
-8.0,50,8.966526
-14.1,41,9.005266
