#{"t_start": 1762707723.684413, "env_id": "None"}
r,l,t
-15.7,17,0.92907
-18.5,25,0.931067
-28.7,27,0.933067
-25.4,24,0.935157
-20.9,69,0.944953
-9.2,22,0.947184
-24.6,36,0.949193
-3.3,33,0.952194
-21.4,24,0.957407
-25.3,53,0.961635
-18.7,27,0.962639
-7.8,28,0.965164
-9.5,15,0.979213
-22.3,23,0.981214
-35.2,162,0.99261
-5.5,35,0.996609
-0.4,34,1.00168
-23.5,35,1.004256
-18.8,18,1.006149
-31.8,48,1.009433
3.1,79,1.017186
-0.9,29,1.019448
-9.2,12,1.020448
-19.7,37,1.022443
-19.1,31,1.026956
-3.5,35,1.028962
-21.7,17,1.029957
-25.9,19,1.039975
-34.9,69,1.073187
-20.8,18,1.0951
-19.2,22,1.103813
-31.0,20,1.113771
3.7,13,1.121643
-32.2,92,1.159317
-23.6,66,1.186229
-4.2,72,1.212759
-19.5,15,1.221412
-19.6,26,1.230937
-13.7,17,1.236963
-38.1,121,1.2833
-5.4,54,1.306948
-22.8,38,1.322961
-17.3,13,1.330041
-13.0,40,1.34407
-30.2,32,1.359649
13.1,49,1.377245
-13.8,28,1.38934
-23.8,48,1.410025
-29.9,99,1.452309
-30.4,34,1.466032
-13.9,19,1.474977
-22.4,74,1.504264
-23.0,20,1.514654
-2.5,25,1.524163
-25.5,55,1.547122
-2.0,50,1.564271
-11.5,95,1.603085
-25.7,37,1.61817
-34.1,61,1.640245
-8.0,30,1.652258
-19.4,144,1.707955
-18.3,23,1.717171
-7.1,31,1.727273
-18.5,45,1.744307
0.9,41,1.761622
-27.8,88,1.79768
-30.2,72,1.82428
-9.9,19,1.831805
-16.6,36,1.857874
-15.4,24,1.88169
-7.8,28,1.892501
-25.6,46,1.910583
-26.7,67,1.939826
-29.2,22,1.948399
-23.5,15,1.954399
-28.7,27,1.965988
-20.8,18,1.976354
-20.8,18,1.988412
-22.6,136,2.05292
-25.3,53,2.076452
-21.6,106,2.128066
-15.9,39,2.145158
-5.0,100,2.184515
-6.9,49,2.205119
-21.9,39,2.22216
-30.5,45,2.242178
-16.4,14,2.247252
-9.6,126,2.302014
-24.8,98,2.346864
-18.6,16,2.354377
-27.0,20,2.362425
-20.4,54,2.384474
-26.3,23,2.395103
-13.9,19,2.40311
-10.1,101,2.443311
-24.7,47,2.461618
-16.5,25,2.47283
-29.3,33,2.486437
-37.2,102,2.526034
-6.5,45,2.543049
-12.7,47,2.564419
-29.7,77,2.595006
-24.5,25,2.60704
-21.2,42,2.625426
-20.6,16,2.634441
-10.1,21,2.642964
-16.6,16,2.648985
-11.3,33,2.663003
-25.5,95,2.704538
-16.4,34,2.71907
-7.9,39,2.733546
-30.9,69,2.761619
-13.3,73,2.793343
-26.1,81,2.829499
-0.5,35,2.842258
-32.2,72,2.87033
-14.4,114,2.916131
-28.6,56,2.940234
-26.1,41,2.95644
19.9,131,3.017116
-25.2,22,3.029134
-18.4,14,3.034636
-26.9,29,3.047151
-13.3,33,3.061199
-11.0,20,3.071219
-28.6,36,3.087487
-19.9,129,3.139992
-22.2,92,3.179119
-19.2,182,3.26387
